ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
OTU11,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Unknown,0.0293920680270071,OTU11
OTU22,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,0.0116329886265871,OTU22
OTU53,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,0.00438643006773141,OTU53
OTU125,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Stomatobaculum,Eubacterium sp.,0.000829547955087151,OTU125
OTU497,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,Unknown,Unknown,3.39950795863239e-05,OTU497
OTU478,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas genomosp.,2.07857540976274e-05,OTU478
OTU28,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Schaalia odontolytica,0.0143546212011656,OTU28
OTU51,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Unknown,0.00469817668246669,OTU51
OTU59,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Unknown,0.00239288190489301,OTU59
OTU97,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unknown,0.00597807754337605,OTU97
OTU74,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Unknown,0.00147481695011559,OTU74
OTU186,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Unknown,0.000386379199186737,OTU186
OTU132,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella denticola,0.000730725612532983,OTU132
OTU324,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Unknown,8.65913077571008e-05,OTU324
OTU342,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,6.76304796543569e-05,OTU342
