"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"Saccharimonadaceae",310,21,725,1098,8,176,0,679,671,403,249,274,45,483,130,73,78,39,75,108,38,162,3,197,192,678,43,106,915,279,117,89,5,76,0,45,8,671,111,2,0,788,78,0,0,301,0,3,0,4,0,0,0,6,171,114,0,0,1,108,101,607,1142,474,0,24,2,48,5,61,0,0
"Selenomonadaceae",97,12,36,23,7,8,24,3,496,111,107,3,24,31,45,12,308,271,556,134,16,244,5,25,211,49,49,89,770,16,150,66,0,2,0,12,1,78,0,0,0,1,119,0,1,1,3,0,0,0,0,0,0,0,85,29,3,0,0,0,14,10,219,21,0,5,0,0,0,0,0,0
"Simkaniaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sphingomonadaceae",468,5,6,0,3448,10,4,1,4,64,1,0,1,5,0,0,0,1,0,1,0,0,0,0,0,238,0,0,197,176,120,1,2,0,0,54,0,0,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,15,0,0,0,0,2119,432,0,0,0,0,4,0,0,0,46
"Spirochaetaceae",0,41,19,4,0,71,19,0,45,0,3,0,11,2,24,3,115,6,0,1,18,28,0,0,6,8,0,196,9,3,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19,21,1,0,0,0,4,5,64,26,0,3,0,0,0,0,0,0
"SR1 bacterium oral taxon 875",3,21,0,4,0,19,2,1,0,26,24,0,735,5,23,4,0,0,0,0,0,0,0,3,0,0,14,0,17,5,0,1,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,23,19,0,0,0,0,3,24,8,353,0,0,0,0,0,0,0,1
"Staphylococcaceae",3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,5,4,1,0,0,4,0,0,0,0,0,2,6,2,22,1,0,0,3,1,0,11,2,0,2,1,0,8,1,0,0,8,3,5,4,0,7,0,0
"Streptococcaceae",17585,12091,27666,15520,28310,60614,24841,28208,9793,28360,9447,11655,9753,28500,23834,32206,29949,15761,2227,11162,22069,8285,13997,40783,13856,11715,13931,18363,15780,16283,32171,4345,688,27084,1020,749,23958,56316,13850,11312,812,2020,5794,1,2,1291,118,13,4,126,3,5,467,361,3159,633,25685,2,653,7379,937,26355,16572,20109,1,427,958,28,511,2358,366,0
"Streptomycetaceae",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,2,2,0,1,3,2,7,0,0,40146,0,1,2,0,40531,0,0,0,1,2,0,1,1,0,0,1
"Streptosporangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8192,0,0,0,10552,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
