"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU78",0.00103936928030015,0.00088407895739654,0.000160329209309783,0.000909897913892588,4.93664637156492e-05,0.000738798275596113,0.0116331696196591,3.75544539582394e-05,0.00188465887674331,0.000229902674534447,0.000354609929078014,0.000300851409488853,0.00163064507213532,0.00368293402800056,0.00187118154969903,0.00053006721703433,0.0037936177959433,0.0024383046793707,0.000732533650764582,0.00081468947797205,0.000413009808982963,0.0035991243367593,0.000569594034797017,0.000776988702584264,0.000127811860940695,0.00122979093554096,0.000613707776904949,0.00292155318884423,0.000105527734607341,0.00132702994111305,6.73778775968557e-05,0.00297194484070376,0,0,0,0.000560433401830749,0.000426383893811872,0.000231218521608879,0,0,0,0,0.000142267747901551,0,0,0,0,0,0,0,0,0,0,0,0.000549774199882191,0.00035297024460838,0.000179163307354654,0,0,0,7.01865206787037e-05,0.000714951145005091,0.00125715118609481,0.000971041387941824,0,0,0,0,0.000134989200863931,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium nucleatum"
"OTU224",0.000228154232261008,0.000167670147092447,8.01646046548914e-05,2.21926320461607e-05,1.64554879052164e-05,0.000893052860610686,0,0,2.7920872248049e-05,3.06536899379263e-05,0,9.0255422846656e-05,0.000552761041401802,1.28325227456466e-05,0.000698875036634579,0.000778183786709974,0.000317113561889997,7.76530152665828e-05,0.000549400238073437,6.26684213824654e-05,0,7.4208749211532e-05,0,3.10795481033706e-05,8.52079072937969e-05,5.99898017337053e-05,2.4548311076198e-05,8.28809415274958e-05,0,0,2.24592925322852e-05,0.000713266761768902,0,0,0,0,0,0.00053280789762046,0,0,0,0,0.000355669369753877,0,0,0,0,0,0,0,0,0,0,0,0.00302375809935205,0.000300024707917123,2.23954134193317e-05,0,0,0,8.77331508483796e-05,0.00023831704833503,0.000546587472215137,0.000172629580078546,0,0,0,0,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Streptobacillus","?"
"OTU204",0.00106471975055137,0,0,0,0,0.00206214024177377,0,1.87772269791197e-05,0,0,0,0,0,0,0.00142029442928963,0,2.34898934733331e-05,0,0,0,0,0,0.000129453189726595,0,0,0,0,0.000227922589200613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","?","?"
"OTU188",0,0,0,0,0,0,0,0,0,7.66342248448157e-05,0,0,0,0,0.0109114683139076,0,0,0,0,0,0,0,0,1.55397740516853e-05,0.000149113837764145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82195824071712e-05,8.63147900392732e-05,0,0,0,0,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","?","?"
"OTU526",0,0,0,0,0,1.62373247383761e-05,0,0,0,0,0,0,0,0,6.76330680614108e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","?"
"OTU106",0.000354906583517124,3.04854812895359e-05,0.000480987627929348,0.0025965379494008,0,5.68306365843164e-05,0,5.63316809373592e-05,0.000349010903100613,0.00156333818683424,5.31914893617021e-05,9.0255422846656e-05,8.29141562102703e-05,0.00136024741103854,0.000518520188470816,1.12780258943475e-05,0.000411073135783329,0.000326142664119648,0.0205109422214083,0.000125336842764931,8.26019617965927e-05,0.000482356869874958,2.5890637945319e-05,0.000186477288620223,0.000745569188820723,0.00044992351300279,0.000171838177533386,0.000414404707637479,1.91868608376983e-05,0.000138232285532609,0.00051656372824256,0.00269456332223807,0,0.000239081925406439,0,0.000186811133943583,0.00127915168143562,0.00851487338272697,0.000446791226645004,6.58241179568194e-05,0,0.00309877955758963,0.000497937117655428,0,0,0,0,0,0,0,0,0,0,0,0.00047123502847045,5.29455366912569e-05,2.23954134193317e-05,0,4.18369780314028e-06,0,1.75466301696759e-05,8.6660744849102e-05,0.000163976241664541,0.000172629580078546,0,0,0,0.00149413020277481,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","uncultured Leptotrichia sp."
"OTU514",0,0,8.01646046548914e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34898934733331e-05,0,9.15667063455728e-05,0,0,0,0,0,0,0,0,6.21607061456218e-05,0,0,2.24592925322852e-05,0,0,0,0,0,0,1.0052979200386e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47908268386634e-05,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia sp. oral taxon 847"
"OTU455",2.53504702512232e-05,1.52427406447679e-05,0,0,0,2.43559871075642e-05,0,1.87772269791197e-05,1.39604361240245e-05,0,1.77304964539007e-05,0,2.76380520700901e-05,1.28325227456466e-05,4.50887120409406e-05,0,0,0.000170836633586482,9.15667063455728e-05,0,2.06504904491482e-05,3.7104374605766e-05,2.5890637945319e-05,0,0,0,0,8.28809415274958e-05,0,0,0,0.00011887779362815,0,0,0,0.000186811133943583,0,1.0052979200386e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23954134193317e-05,0,0,0,0,0,3.64391648143425e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","?"
"OTU64",0.00111542069105382,0.000259126590961055,0.0012559121395933,0.0148690634709277,3.29109758104328e-05,0.000771272925072865,5.0287476742042e-05,3.75544539582394e-05,0.00286188940542503,0.00133343551229979,0.00397163120567376,0.000962724510364331,0.00273616715493892,0.00452988052921324,0.00847667786369682,0.000180448414309559,0.00293623668416664,0.00447281367935517,0.00393736837285963,0.00169204737732657,0.000247805885389778,0.00296834996846128,0.0015016570008285,0.00257960249257976,0.000596455351056578,0.00131977563814152,0.000711901021209741,0.00140897600596743,0.000268616051727777,0.000801747256089132,0.00107804604154969,0.0282929148834998,2.0115058132518e-05,0.000812878546381894,0,0.000373622267887166,0.000685921916132142,0.00254340373769767,0.000243704305442729,0.000131648235913639,0,0.00424294431731503,0.00377009531939109,0,0,0.000166030217499585,0.000701121794871795,0,0,0,0,0,0,0,0.00333791478499902,0.00086477709929053,0.000179163307354654,0,1.67347912125611e-05,0,0.000508852274920602,0.0031847823732045,0.000838100790729876,0.00127314315307928,0,4.58915582478603e-05,0.000112663361874718,0.00327285663464959,0,8.01431891646408e-05,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","?"
"OTU46",0.0058052576875301,4.57282219343038e-05,0.00502364855837319,0.00330670217487794,3.29109758104328e-05,0.000276034520552394,6.70499689893893e-05,0.000150217815832958,0.0013122809956583,0.00456739980075102,0.000425531914893617,0.00090255422846656,0.000386932728981261,0.000680123705519268,0.00284058885857925,0.000112780258943475,0.00101006541935332,0.00531146624423426,0.0706894972987822,0.00112803158488438,0.000371708828084667,0.0057882824384995,0.000310687655343828,0.00256406271852807,0.00140593047034765,0.00155973484507634,0.00201296150824823,0.01282582570138,0.00080584815518333,0.000359403942384783,0.0024256035934868,0.0109763829449992,0.000583336685843022,0.000685368186165126,0,0.000747244535774332,0.000444922323977606,0.0110180652036231,0.00373679935012185,0,0,0.00510106788710908,0.00942523829847773,0,0,3.3206043499917e-05,0.000500801282051282,0,0,0,0,0,6.87994496044032e-05,0,0.00106027881405851,0.000441212805760474,0.000291140374451312,0,8.36739560628057e-06,0,7.01865206787037e-05,0.000368308165608683,0.00182195824071712,0.000733675715333822,0,2.29457791239302e-05,5.63316809373592e-05,0.0119530416221985,0,2.67143963882136e-05,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","?"
"OTU237",0,0,0.000187050744194747,0.0033288948069241,0,1.62373247383761e-05,0,0,0,1.53268449689631e-05,0,0,2.76380520700901e-05,0.000256650454912931,0.000383254052347995,1.12780258943475e-05,0.000446307975993329,7.76530152665828e-05,0.0010072337698013,0,0,0.000296834996846128,0,1.55397740516853e-05,2.13019768234492e-05,8.99847026005579e-05,7.36449332285939e-05,4.14404707637479e-05,3.83737216753967e-05,5.52929142130436e-05,6.73778775968557e-05,0.000475511174512601,0,0,0,0,0,0.000120635750404632,0,0,0,0,0.000320102432778489,0,0,0,0.000200320512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10979120358561e-05,2.15786975098183e-05,0,0,0,0.000569192458199929,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","?"
"OTU20",0.00694602884883515,0.0378782105022483,0.00817678967479892,0.00452729693741678,0.00419614941583018,0.0130710464143928,0.00176006168597147,0.0105903560162235,0.00015356479736427,0.0110353283776535,0.000620567375886525,0.0260236469207858,0.0131280747332928,0.0273846035392098,0.0341772437270329,0.0109509631434114,0.00380536274267996,0.0576340679308578,0.00247230107133046,0.0407344738986025,0.10011357769747,0.00920188490222997,0.0220070422535211,0.00562539820671007,0.00613496932515337,0.00413929631962566,0.0121268656716418,0.012991587584435,0.000201462038795833,0.00906803793093915,0.00476137001684447,0.000713266761768902,0.00114655831355353,0.00258208479438954,0.00356156418084024,0.000747244535774332,0.0263801861258389,0.0037397082625436,0.0277010560519903,0.000987361769352291,0.000502652890254119,0.00657894736842105,0.00387679613031726,0,0,0.00700647517848248,0.000400641025641026,0,0,5.68070642740373e-05,0,0.00111982082866741,0.00171998624011008,0.000667836471728256,0.00102100922835264,0.000317673220147542,0.000268744961031981,0,0.000117143538487928,0.0156715339019806,0.00156165008510116,0.00766947591914552,0.0180738257479139,0.0123861723706357,0,0.00105550583970079,0.000337990085624155,0,0.000944924406047516,0.0011754334410814,0.000275305129852253,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","?","?"
"OTU637",2.53504702512232e-05,0,0,0,0,3.24746494767522e-05,0,0,0,0,0,0,0,1.28325227456466e-05,6.76330680614108e-05,1.12780258943475e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","?"
"OTU472",0,0,0,0,0,8.93052860610686e-05,0,0,0,0,1.77304964539007e-05,0,0.000165828312420541,0,0,9.02242071547796e-05,1.17449467366665e-05,1.55306030533166e-05,0,0,0,0,0,1.55397740516853e-05,0,0,0,0,0,0,0,3.96259312093834e-05,0,1.5938795027096e-05,0,0,0,1.0052979200386e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92695857058708e-05,0,2.23954134193317e-05,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia goodfellowii"
"OTU694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157078342823483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","?","?"
"OTU488",0,0,0,0,0,2.43559871075642e-05,0,0,2.7920872248049e-05,0,0,0,0,0,4.50887120409406e-05,0,5.87247336833327e-05,0,0,6.26684213824654e-05,0,3.7104374605766e-05,0,0,0,0,0,4.14404707637479e-05,3.83737216753967e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117808757117612,3.52970244608379e-05,0,0,0,0,0,0,0,8.63147900392732e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Defluviitaleaceae","Defluviitaleaceae UCG-011","?"
"OTU707",0,0,5.34430697699276e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7560582513095e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7648512230419e-05,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","?"
"OTU691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17449467366665e-05,0,0,0,0,0,0,0,0,0,0,0,2.87802912565475e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55669369753877e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Howardella","Eubacterium sp."
"OTU260",0.000126752351256116,1.52427406447679e-05,0,6.6577896138482e-05,0,0,5.0287476742042e-05,0,0.000139604361240245,0.000122614759751705,0.00049645390070922,0,0.00011055220828036,6.41626137282328e-05,0.000180354848163762,1.12780258943475e-05,0.00068120691072666,0.000760999549612511,0.000183133412691146,0.000564015792442188,0,0.00055656561908649,5.17812758906379e-05,0.000124318192413482,4.26039536468984e-05,0.000119979603467411,7.36449332285939e-05,2.07202353818739e-05,0.00011512116502619,2.76464571065218e-05,0.000202133632790567,0.000237755587256301,0,0,0,0,3.70768603314671e-05,0.00010052979200386,0,0,0,0,0.000142267747901551,0,0,0,0,0,0,0,0,0,0,0,0.000117808757117612,7.05940489216759e-05,2.23954134193317e-05,0,0,0,0,0.000108325931061377,0.000255074153700397,6.47360925294549e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Catonella","?"
"OTU477",0,0,2.67215348849638e-05,0,0,1.62373247383761e-05,0,0,0,0,0,0,0,0,2.25443560204703e-05,0,0,0,0,0,0,7.4208749211532e-05,0,0,2.13019768234492e-05,2.99949008668526e-05,0,2.07202353818739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55669369753877e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Catonella","Catonella sp. oral clone FL037"
"OTU196",0.000380257053768347,1.52427406447679e-05,0.000507709162814312,0.000110963160230803,3.29109758104328e-05,8.11866236918805e-06,0.000184387414720821,0.000112663361874718,1.39604361240245e-05,0.000275883209441336,0.00205673758865248,0.000120340563795541,0.000359294676911171,3.84975682369397e-05,0.000428342764388935,0,0.00151509812902998,0.000295081458013015,0.000183133412691146,0,2.06504904491482e-05,0.0021891581017402,0.000673156586578293,0.000435113673447188,6.39059304703477e-05,0.000689882719937611,0.000368224666142969,4.14404707637479e-05,0.000316583203822023,5.52929142130436e-05,0.000763615946097698,0.00154541131716595,0,0,0,0.000373622267887166,1.85384301657336e-05,0.000140741708805404,0.000121852152721365,0,0,0,0.000675771802532366,0,0,0,0,0,0,0,0,0,0,0,0.000274887099941096,0,0,0,0,0,3.50932603393518e-05,0.000173321489698204,0.000619465801843822,0.00012947218505891,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","?","?"
