"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"Leptotrichiaceae",0.0248941617867011,0.0387927749409344,0.0224460893033696,0.0599866844207723,0.00437715978278756,0.0216037605644094,0.00192768660844494,0.0112663361874718,0.00904636260836789,0.0280021457582957,0.00987588652482269,0.0299347152441409,0.0212260239898292,0.0412308955817624,0.0741934756633677,0.0132065683222809,0.0144815193263099,0.0792681979841277,0.205017855507737,0.0466253055085542,0.101517811048012,0.0289785165671033,0.0258647473073737,0.0165809389131482,0.0122486366734833,0.0116980113380725,0.0191722309505106,0.0421863992374953,0.0023024233005238,0.0113350474136739,0.013385738349242,0.0857901410683151,0.00285633825481756,0.00575390500478164,0.00356156418084024,0.00653838968802541,0.0313670238404212,0.0506670151699456,0.036961819658814,0.00138230647709321,0.000521269663967234,0.0309877955758963,0.0314056053492673,1.87853399207259e-05,0,0.0074381537439814,0.00320512820512821,0,0,5.68070642740373e-05,0,0.00111982082866741,0.00206398348813209,0.000680931304507241,0.0165717651678775,0.00397091525184427,0.00136612021857923,0,0.000184082703338172,0.0156715339019806,0.00282500745731782,0.0146456658794982,0.0257989286885545,0.0171334858227957,0,0.00119318051444437,0.000788643533123028,0.0383493418712202,0.000944924406047516,0.00138914861218711,0.000275305129852253,0
"Marinifilaceae",0,1.52427406447679e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000270532272245643,0,0.000234898934733331,0,0,0,0,0,0,0,0,0,0,6.21607061456218e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacteriaceae",0.000177453291758562,3.04854812895359e-05,0,0,3.29109758104328e-05,0,0,1.87772269791197e-05,1.39604361240245e-05,0,0.000177304964539007,0,5.52761041401802e-05,1.28325227456466e-05,0,0,0,0,0,0,0,0.00582538681310527,0,0,0,0.000479918413869642,0,0,0,0,0,0,0,7.96939751354798e-05,0,0.00186811133943583,1.85384301657336e-05,0,0,6.58241179568194e-05,1.86167737131155e-05,9.534706331045e-05,3.55669369753877e-05,1.87853399207259e-05,0.000422815102955478,0,0.000100160256410256,0,1.46087769531935e-05,1.89356880913458e-05,0,0,0.000137598899208806,0.105413403870833,0.000785391714117416,0.0568458578941795,0,5.49684618450164e-05,0.991599134811294,5.78285383836924e-05,0.0517099191100349,0.000411638538033234,0,0,0.000390276538804639,0.000252403570363232,0,0.000142298114549982,0.000134989200863931,2.67143963882136e-05,0,0.0545454545454545
"Micrococcaceae",0.00866986082591832,0.0413230698879659,0.0143494642332256,0.00545938748335553,0.00939608359387856,0.0143050830945093,0.00184387414720821,0.0104776926543488,0.000223366977984392,0.012476051804736,0.00209219858156028,0.0262944131893258,0.0148416339616384,0.032787095615127,0.0364767680411209,0.0127667253124013,0.00418120103825329,0.0635046358850114,0.00466990202362421,0.0464999686657893,0.108064016520392,0.0107602686356721,0.0255540596520298,0.00797190408851455,0.00690184049079755,0.00551906175950088,0.0118077376276512,0.0148149682980399,0.00250388533931963,0.0132426529540239,0.00480628860190904,0.000911396417815819,0.00134770889487871,0.00221549250876634,0.00455492561903377,0.0011208668036615,0.0278261836787661,0.00533813195540498,0.0294069861900894,0.00151395471300685,0.000484036116541003,0.0083905415713196,0.00437473324797268,1.87853399207259e-05,0,0.00637556035198406,0.00100160256410256,1.03702167375298e-05,1.46087769531935e-05,3.15594801522429e-05,3.63609919278598e-05,0,0.00288957688338493,0.000576172642275358,0.00345572354211663,0.000370618756838798,0.013840365493147,0,0.000129694631897349,0.0173774757842996,0.0019652225790037,0.00805944927096648,0.0210982764275043,0.0160113935522852,0,0.00156031298042725,0.000225326723749437,7.11490572749911e-05,0.00161987041036717,0.00173643576523388,0.000520020800832033,0
"Mitochondria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25443560204703e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxellaceae",0,0.0139318649493179,0,4.43852640923214e-05,0,0.00299578641423039,0,0,0,7.66342248448157e-05,0,0,8.29141562102703e-05,0,4.50887120409406e-05,0,0,0,0,0,0,0,0,0,0,5.99898017337053e-05,0,0,0,0,2.24592925322852e-05,0,0,3.18775900541919e-05,0,0,0,1.0052979200386e-05,0.000690495532087734,0.000131648235913639,0,0,0.000142267747901551,0,0,0,0,3.11106502125894e-05,5.84351078127739e-05,6.31189603044859e-06,3.63609919278598e-05,0.000559910414333707,0,0,0.012762615354408,0.00330027178708835,2.23954134193317e-05,1.37421154612541e-05,4.18369780314028e-06,2.89142691918462e-05,0.000491305644750926,0,0.00136646868053784,0,0.000390276538804639,2.29457791239302e-05,0,0.000142298114549982,0,0.000106857585552854,0,0
"Morganellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28208481225481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26684213824654e-05,0,3.7104374605766e-05,2.5890637945319e-05,0,0,0,0,2.07202353818739e-05,0,0,2.24592925322852e-05,0,0.967856137104236,0.547688874721071,0.95260939089984,0,0,0,0.264134849715678,0.248222748815166,0.0234385181048124,0.721872616323417,0.117513159766681,0.997689403189751,0.992917847025496,0.889689523493276,0.97440905448718,0.998952608109509,0.999006603167183,0.0422897034040055,0.997491091556978,0.93057110862262,0.952390780873753,0.0155959458397716,0.41531513842529,0.104814514136458,0,0.996413307864613,0.00403726838003037,0.603932340610091,0.155621062974856,0,0,4.31573950196366e-05,0.991636931311329,0.976824763084831,0.895110410094637,0.923372465314835,0.8914686825054,0.895893997275132,0.00126946254320761,0
"Mycoplasmataceae",0,3.04854812895359e-05,0,0,0,1.62373247383761e-05,0.000519637259667767,0,8.37626167441471e-05,0,0,0,0,7.69951364738794e-05,6.76330680614108e-05,0,5.87247336833327e-05,9.31836183198994e-05,0,0,0,7.4208749211532e-05,0,6.21590962067412e-05,6.39059304703477e-05,5.99898017337053e-05,0,0.000145041647673118,9.59343041884917e-06,5.52929142130436e-05,0,0,0,0,0,0,0,1.0052979200386e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82425611520949e-05,0,0,0,0,1.75466301696759e-05,8.6660744849102e-05,7.28783296286849e-05,6.47360925294549e-05,0,0,0,0,0,0,0,0
"Neisseriaceae",0.0270489517580551,0.395945430988492,0.00146968441867301,0.017132711939636,0.000263287806483462,0.173438984192964,0.000117337445731431,0.0894359321015472,0.00141000404852648,0.00815388152348839,0.00118794326241135,0.0660669695237522,0.113094909070809,0.105393509309995,0.0357553486484659,0.073780845400821,8.22146271566658e-05,0.0611905760300673,0.00109880047614687,0.0314595475339976,0.109179143004646,0.0129865311120181,0.2986743993372,0.0104893474848876,0.00619887525562372,0.00551906175950088,0.150751178318932,0.00223778542124239,0.00227364300926725,0.0188548837466479,0.00217855137563167,0.00681566016801395,0.00187070040632417,0,9.69133110432718e-05,0.00280216700915375,0.247580734863372,0.0155921707397987,4.06173842404549e-05,0,0,0,0.127720870678617,0,0,9.9618130499751e-05,0.000250400641025641,4.14808669501193e-05,0,0,0,0.00615901455767077,0,0,0.0344001570783428,0.0161130916663725,0.250694257815999,0,0,0.000144571345959231,0.00443929743292801,0.0861407803800074,0.0855773785664833,0.062470329290924,0,0,5.63316809373592e-05,0.000142298114549982,0.000269978401727862,0,0,0
