Genus	P01-A01-HLM069	P01-A02-HLM002	P01-A03-HLM038	P01-A04-HLM091	P01-A05-HLM061	P01-A06-HLM094	P01-A07-HLM102	P01-A08-HLM056	P01-A09-HLM053	P01-A10-HLM019	P01-A11-HLM137	P01-A12-HLM131	P01-B01-HLM062	P01-B02-HLM064	P01-B03-HLM037	P01-B04-HLM089	P01-B05-HLM107	P01-B06-HLM097	P01-B07-HLM098	P01-B08-HLM106	P01-B09-HLM054	P01-B10-HLM020	P01-B11-HLM136	P01-B12-HLM122	P01-C01-HLM080	P01-C02-HLM044	P01-C03-HLM045	P01-C04-HLM074	P01-C05-HLM114	P01-C06-HLM084	P01-C07-HLM104	P01-C08-HLM096	P01-C09-HLM035	P01-C10-HLM021	P01-C11-HLM117	P01-C12-HLM128	P01-D01-HLM079	P01-D02-HLM043	P01-D03-HLM025	P01-D04-HLM073	P01-D05-HLM090	P01-D06-HLM093	P01-D07-HLM105	P01-D08-HLM086	P01-D09-HLM055	P01-D10-HLM022	P01-D11-HLM101	P01-D12-HLM135	P01-E01-HLM065	P01-E02-HLM042	P01-E03-HLM049	P01-E05-HLM095	P01-E06-HLM100	P01-E07-HLM103	P01-E08-HLM112	P01-E09-HLM057	P01-E10-HLM023	P01-E11-HLM120	P01-E12-HLM138	P01-F01-HLM066	P01-F02-HLM041	P01-F03-HLM048	P01-F05-HLM092	P01-F06-HLM081	P01-F07-HLM087	P01-F08-HLM050	P01-F09-HLM058	P01-F10-HLM024	P01-F11-HLM116	P01-F12-HLM140	P01-G01-HLM068	P01-G03-HLM067	P01-G04-HLM109	P01-G05-HLM083	P01-G06-HLM075	P01-G07-HLM072	P01-G08-HLM051	P01-G09-HLM059	P01-G10-HLM018	P01-G11-HLM123	P01-G12-HLM178	P01-H01-HLM063	P01-H02-HLM039	P01-H03-HLM070	P01-H04-HLM110	P01-H05-HLM082	P01-H06-HLM078	P01-H07-HLM099	P01-H08-HLM052	P01-H09-HLM029	P01-H10-HLM017	P01-H11-HLM124	P01-H12-HLM148	P02-A01-HLM146	P02-A02-HLM016	P02-A03-HLM171	P02-A04-HLM004	P02-A05-HLM167	P02-A06-HLM172	P02-A07-HLM154	P02-A08-HLM085	P02-A09-HLM134	P02-A10-HLM405	P02-A11-HLM413	P02-A12-HLM421	P02-B01-HLM145	P02-B02-HLM177	P02-B03-HLM032	P02-B04-HLM001	P02-B05-HLM165	P02-B06-HLM013	P02-B07-HLM155	P02-B08-HLM003	P02-B09-HLM130	P02-B10-HLM406	P02-B11-HLM414	P02-B12-HLM422	P02-C01-HLM143	P02-C02-HLM182	P02-C03-HLM033	P02-C04-HLM006	P02-C05-HLM129	P02-C06-HLM010	P02-C07-HLM157	P02-C08-HLM111	P02-C09-HLM127	P02-C10-HLM407	P02-C11-HLM415	P02-C12-HLM423	P02-D01-HLM115	P02-D02-HLM186	P02-D03-HLM030	P02-D04-HLM173	P02-D05-HLM166	P02-D06-HLM189	P02-D07-HLM158	P02-D08-HLM005	P02-D09-HLM400	P02-D10-HLM408	P02-D11-HLM416	P02-D12-HLM424	P02-E01-HLM144	P02-E02-HLM184	P02-E03-HLM014	P02-E04-HLM174	P02-E05-HLM149	P02-E06-HLM190	P02-E07-HLM159	P02-E08-HLM132	P02-E09-HLM401	P02-E10-HLM409	P02-E11-HLM417	P02-E12-HLM425	P02-F01-HLM179	P02-F02-HLM187	P02-F03-HLM027	P02-F04-HLM175	P02-F05-HLM163	P02-F06-HLM126	P02-F07-HLM161	P02-F08-HLM007	P02-F09-HLM402	P02-F10-HLM410	P02-F11-HLM418	P02-F12-HLM426	P02-G01-HLM142	P02-G02-HLM188	P02-G03-HLM036	P02-G04-HLM147	P02-G05-HLM164	P02-G06-HLM141	P02-G07-HLM118	P02-G08-HLM008	P02-G09-HLM403	P02-G10-HLM411	P02-G11-HLM419	P02-G12-HLM427	P02-H01-HLM180	P02-H02-HLM176	P02-H03-HLM031	P02-H04-HLM162	P02-H05-HLM009	P02-H06-HLM152	P02-H07-HLM119	P02-H08-HLM011	P02-H09-HLM404	P02-H10-HLM412	P02-H11-HLM420	P02-H12-HLM428	P03-A01-HLM429	P03-B01-HLM430	P03-C01-HLM431	P03-D01-NEC
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;?	12	53	23	281	47	763	7	54	84	23	89	8	184	4	2	117	319	131	326	2	28	19	45	27	208	266	9	131	130	65	35	17	23	29	39	148	20	13	59	360	918	795	12	48	25	5	34	5	17	29	1	28	51	7	42	34	844	6	135	306	9	43	81	3	45	17	14	8	18	3	96	369	12	61	105	37	171	8	4	13	75	43	117	121	336	20	42	70	53	16	5	19	188	8	120	1	12	185	17	53	24	116	3	21	0	29	1	15	10	286	7	11	90	4	9	1	0	122	45	613	53	355	38	30	162	50	43	76	0	17	99	19	150	149	26	5	17	0	49	0	0	47	10	27	32	6	203	10	42	0	0	0	6	7	45	74	37	483	28	11	41	0	0	44	14	36	21	0	46	551	29	119	6	0	1	5	18	4	41	44	140	102	59	1008	32	0	2	0	129	2	39	1	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio	3	0	1	3	0	23	0	14	3	1	9	0	12	1	0	2	12	3	40	0	8	0	1	18	0	38	0	11	20	4	37	7	0	4	69	254	0	0	2	66	3	3	0	0	12	1	8	2	1	0	3	2	5	3	4	0	160	0	21	4	0	0	3	0	0	0	5	2	3	0	0	7	5	25	25	15	9	1	0	2	40	2	22	14	13	0	3	7	5	2	1	2	37	0	38	0	2	8	0	75	33	0	0	0	0	0	0	0	0	36	2	0	19	2	0	0	0	5	7	86	16	101	9	3	6	1	0	14	0	1	81	2	90	39	0	2	2	0	0	0	0	8	2	1	8	0	133	0	4	0	0	0	0	0	30	85	7	26	7	0	4	0	0	2	0	7	0	0	11	14	4	45	2	0	0	0	0	0	0	9	16	11	1	109	4	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Catonella	3	2	1	0	1	8	3	10	4	10	6	0	73	7	0	15	3	16	8	1	3	8	8	11	4	2	4	77	5	4	11	7	0	35	5	11	33	10	9	15	2	63	1	15	4	0	7	6	6	10	2	6	23	2	18	2	135	0	136	3	0	19	65	11	10	10	21	0	17	1	30	37	21	6	25	3	13	1	0	4	7	4	10	21	10	0	21	17	4	9	2	5	15	1	31	0	0	10	3	19	17	13	0	0	0	0	0	0	3	41	0	8	15	8	0	0	0	2	2	22	8	32	4	62	54	54	0	9	0	1	7	19	10	12	13	5	6	0	0	0	0	0	6	5	34	8	7	2	14	0	0	0	0	5	105	17	6	11	5	1	4	0	0	17	12	21	38	1	13	16	2	43	0	0	0	0	0	1	11	1	23	38	5	40	5	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Howardella	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	5	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	2	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	2	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Johnsonella	0	8	15	0	0	3	0	0	0	3	2	0	5	3	0	2	4	6	1	0	0	9	10	6	0	0	3	6	1	2	6	4	0	235	6	1	58	3	1	4	9	243	1	27	3	0	1	0	0	1	0	0	8	0	7	0	1	1	5	0	0	1	7	6	1	3	0	0	7	0	11	3	3	1	1	1	33	0	0	11	16	0	0	75	6	1	4	4	2	5	1	0	96	1	25	0	0	6	0	0	4	3	0	3	0	1	2	1	1	9	1	0	2	2	0	0	0	4	0	5	1	22	0	0	94	10	8	2	0	7	6	0	3	31	15	1	8	0	3	2	0	10	8	21	1	0	3	12	0	0	0	0	0	1	10	5	3	7	9	5	6	0	0	46	3	4	13	0	4	201	10	0	3	0	0	0	8	0	21	9	6	11	2	4	3	0	0	0	1	3	37	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum	8	46	20	33	27	178	6	18	14	23	24	9	42	9	3	53	120	49	42	2	13	6	31	33	2	94	6	27	192	21	17	12	6	98	15	54	8	18	12	84	102	501	5	28	4	2	10	0	10	23	1	27	20	5	18	8	271	8	61	65	0	10	37	2	6	3	5	5	11	1	0	84	4	22	141	19	35	4	4	16	53	32	28	72	101	12	20	36	3	10	1	13	149	5	96	2	3	54	4	16	12	50	7	52	0	10	3	6	8	42	4	14	20	3	10	2	0	52	1	98	49	74	15	0	53	16	211	66	0	24	69	2	78	40	21	0	23	0	37	0	0	6	4	18	12	0	70	13	16	0	0	0	6	1	48	47	36	92	16	4	36	1	0	56	19	26	19	1	21	214	6	89	3	0	2	17	36	0	15	12	59	48	27	449	12	0	3	0	74	5	55	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium	48	59	92	278	188	664	17	85	97	106	117	31	471	9	10	185	348	182	453	8	70	45	91	83	97	370	17	136	214	73	139	48	41	216	235	391	48	52	153	460	433	1264	51	65	16	3	100	4	72	201	27	127	89	25	131	64	1860	16	492	222	17	51	128	34	64	14	64	27	34	3	28	660	11	99	283	57	575	50	51	173	216	87	149	416	658	36	163	176	127	31	4	54	438	41	691	4	47	344	25	213	87	392	8	47	3	17	4	21	26	326	46	29	208	5	239	0	0	136	17	691	90	985	81	94	476	207	165	157	0	54	161	20	394	228	76	12	59	0	100	0	0	90	21	112	50	45	423	66	63	0	0	0	0	12	162	246	134	714	34	28	169	1	0	143	40	127	167	2	169	918	37	444	18	0	10	53	49	20	90	89	351	176	65	2011	96	0	15	2	99	3	54	2	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	1	0	0	3	0	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Shuttleworthia	0	0	2	5	4	0	6	0	5	0	0	0	28	1	0	1	0	1	5	0	0	0	3	0	0	0	5	21	6	1	0	2	1	0	0	168	15	1	18	0	4	0	0	2	0	0	0	0	1	1	1	0	4	0	4	0	58	1	9	10	5	0	46	7	19	1	1	0	4	1	1	9	1	11	2	0	9	0	0	0	2	1	4	19	11	0	6	36	0	0	0	3	176	0	12	4	41	8	4	52	1	3	0	1	0	6	0	0	0	2	1	32	3	3	0	0	0	2	1	4	4	43	3	1	9	1	0	0	0	0	11	4	0	9	36	11	3	0	8	0	0	0	16	1	13	0	15	0	4	0	0	0	0	0	164	152	0	15	1	1	3	0	0	0	0	0	0	0	13	13	0	3	0	0	0	5	3	2	5	2	13	7	1	10	0	0	0	0	0	0	2	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Stomatobaculum	46	10	10	102	124	117	1	51	86	62	27	8	110	1	4	65	41	75	235	6	22	13	56	16	69	86	4	50	60	63	80	13	14	77	29	250	29	20	76	142	43	540	10	32	24	2	65	5	16	19	3	62	92	7	30	32	964	2	149	30	3	13	61	7	1	5	63	17	9	1	6	472	3	95	141	27	391	17	4	31	118	25	79	157	116	7	59	48	87	25	3	23	103	6	69	3	2	172	17	40	39	321	0	4	0	6	0	13	4	219	10	10	70	2	4	0	0	88	2	93	32	252	26	52	82	125	0	80	0	14	69	5	127	151	10	4	17	0	3	1	0	55	8	36	12	5	129	24	38	0	0	0	0	0	36	39	37	168	32	22	31	0	0	31	4	29	36	0	9	156	36	101	1	0	0	0	9	1	24	33	121	89	26	744	31	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus	0	0	2	0	6	0	1	0	0	3	4	0	0	0	1	1	0	4	0	0	1	2	9	2	0	0	0	0	0	0	1	3	0	28	4	3	1	1	2	3	1	27	2	6	1	2	7	2	2	1	1	0	5	0	6	0	7	0	7	0	0	4	7	0	0	5	0	1	1	0	3	1	0	0	2	0	0	0	0	1	4	6	2	40	6	0	1	8	2	12	0	2	11	1	0	0	0	0	3	61	5	12	0	0	0	0	0	2	0	2	0	0	1	15	0	0	0	0	0	7	1	13	1	9	7	4	0	22	0	0	7	3	5	6	23	0	10	0	0	0	0	1	3	0	3	0	0	0	3	0	0	0	0	5	112	8	0	0	0	2	2	0	0	17	11	19	7	0	4	3	0	1	1	0	0	0	0	0	2	1	2	18	1	3	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;?;?	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	6	0	1	0	1	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	36	0	0	1	0	0	2	0	4	97	0	0	0	9	0	0	25	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	2	0	0	1	14	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;?	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	4	0	0	0	0	0	10	0	0	0	0	1	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	4	2	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	35	2	0	0	0	0	1	0	0	124	0	0	0	12	0	0	27	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	1	0	12	0	0	0	3	0	0	0	0	1	0	0	0	5	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	4	1	3	0	0	0	0	0	0	1	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Amnipila	0	5	0	0	0	0	3	0	0	1	0	0	0	3	0	0	0	6	0	0	1	3	3	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	1	0	23	0	5	0	0	0	2	0	0	0	0	13	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	4	0	0	0	0	0	0	1	23	0	0	5	3	0	6	0	0	1	0	0	0	0	0	2	162	3	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	16	5	0	0	0	0	0	3	1	9	3	4	0	4	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	1	2	0	18	0	1	2	0	0	1	0	0	0	0	0	0	3	2	3	0	8	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	2	0	0	1	1	0	12	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	12	5	0	0	6	0	1	0	1	42	3	1	0	0	3	0	42	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	1	0	4	1	2	0	4	0	0	0	0	8	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	8	6	0	1	0	0	0	0	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Mogibacterium	0	5	21	4	1	1	0	0	6	1	1	6	6	0	0	1	6	7	2	0	0	8	5	3	3	1	0	0	14	2	0	1	1	10	8	4	15	30	0	6	100	12	1	1	2	0	0	1	1	10	2	2	12	0	4	0	17	1	10	0	0	1	10	4	3	1	1	2	1	0	4	4	4	0	3	1	7	1	0	3	3	2	1	61	3	0	1	3	0	2	0	2	32	4	5	1	46	3	4	37	0	2	2	14	0	0	1	0	0	3	7	0	0	1	4	0	0	6	0	13	38	1	13	1	7	3	1	2	0	0	14	5	23	32	3	0	6	0	17	0	0	5	1	1	3	3	4	2	0	0	0	0	0	0	16	2	25	26	0	3	1	0	0	2	1	4	4	0	7	68	1	0	0	0	0	7	0	1	6	3	8	2	4	3	1	0	0	0	0	0	7	1	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	0	8	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	8	1	0	2	0	0	17	4	0	0	16	0	1	0	0	47	11	1	0	0	0	0	0	0	0	0	0	1	1	0	0	5	0	5	0	0	0	0	0	0	0	19	0	40	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	3	2	82	6	1	0	5	0	0	1	2	183	1	3	0	6	3	6	1	0	0	4	0	2	0	0	0	0	3	0	0	0	8	0	0	0	0	16	5	0	4	0	0	7	1	2	0	0	0	5	17	0	8	0	0	2	0	10	0	0	1	5	3	9	0	2	0	0	0	0	0	0	0	65	14	0	9	0	0	1	0	0	5	15	3	2	0	34	34	0	0	0	0	0	1	22	1	2	0	3	8	3	0	1	0	0	0	0	10	15	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	9	5	17	1	81	31	2	31	14	30	38	5	19	4	3	18	24	36	36	3	14	22	38	41	0	28	4	61	16	66	178	14	36	162	113	83	20	57	20	92	18	52	103	52	13	3	14	49	64	39	6	1	17	8	84	2	1113	0	105	8	9	20	88	9	13	10	58	27	7	6	6	64	6	6	23	15	198	4	6	13	14	90	48	220	159	1	54	25	69	19	45	23	280	38	296	0	31	34	64	775	65	92	0	20	2	68	0	3	4	36	76	42	25	9	0	0	0	61	0	92	1451	300	53	38	188	62	10	58	1	0	119	7	122	128	397	4	113	0	51	1	0	23	21	20	34	41	80	27	40	0	1	0	6	0	159	29	13	53	23	51	35	1	0	95	13	96	76	0	55	214	22	14	6	2	0	36	23	0	49	34	63	70	61	188	45	0	3	0	17	5	33	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] saphenum group	0	1	2	0	0	0	2	0	6	0	0	0	7	0	0	0	0	7	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	5	3	0	0	0	0	0	1	0	0	0	0	2	0	0	6	0	0	0	8	0	0	0	0	0	10	0	0	2	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	11	206	0	0	4	10	0	15	0	22	2547	5	0	0	4	1	0	14	0	0	0	0	0	1	0	0	0	1	2	0	0	12	0	0	0	0	0	1	1	2	1	0	0	4	0	0	0	0	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	12	63	0	1	0	0	0	0	0	3	1	7	0	0	0	200	0	0	0	0	0	0	2	0	0	1	13	21	5	0	0	0	0	0	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Murdochiella	0	0	2	0	0	0	2	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Parvimonas	0	233	86	0	1	15	4	0	31	7	6	7	62	2	0	73	18	71	1	0	7	88	54	14	85	3	10	426	11	1	142	26	10	104	1	13	524	58	9	3	52	66	87	31	1	13	7	11	95	54	0	0	33	0	58	2	13	0	3	1	14	0	52	110	75	7	0	19	123	0	196	3	20	0	33	5	77	1	0	1	53	8	13	627	862	0	43	16	7	3	1	40	637	136	50	62	114	292	68	146	7	18	9	10	0	129	4	0	15	101	19	3	7	57	0	0	0	56	26	60	28	325	57	0	845	216	68	14	0	0	18	107	18	271	445	1	110	0	33	0	0	74	17	28	104	2	45	54	1	0	2	0	0	48	617	204	129	143	2	124	123	3	13	23	4	280	31	1	412	1308	0	2	93	0	0	250	20	357	284	44	38	30	52	82	18	0	0	0	0	6	63	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;W5053	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	19	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	5	1	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	0	23	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
