"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU94",210,0.409982174688057,289.36868781588,210
"OTU163",214,0.414414414414414,232.012177264898,214
"OTU230",205,0.414041404140414,789.835080629208,205
"OTU91",214,0.414414414414414,232.012177264898,214
"OTU207",142,0.365079365079365,364.75522502042,142
"OTU170",216,0.418943533697632,1009.25075039768,216
"OTU78",200,0.408163265306122,303.315968390128,200
"OTU125",33,0.335521517140773,701.851913181028,33
"OTU158",214,0.414414414414414,232.012177264898,214
"OTU57",155,0.381426202321725,127.607901472931,155
"OTU263",213,0.414041404140414,225.764603869081,213
"OTU102",182,0.396551724137931,100.959258634839,182
"OTU119",208,0.41329739442947,490.065395318103,208
"OTU49",198,0.407801418439716,178.960743381071,198
"OTU167",209,0.41329739442947,405.163147260464,209
"OTU232",200,0.411817367949866,916.967125172686,200
"OTU239",214,0.414414414414414,232.012177264898,214
"OTU215",214,0.414414414414414,232.012177264898,214
"OTU196",95,0.350877192982456,315.963514051908,95
"OTU209",171,0.398613518197574,652.78262987584,171
"OTU186",196,0.409982174688057,1090.4902975716,196
"OTU267",214,0.414414414414414,232.012177264898,214
"OTU177",195,0.387858347386172,229.115972057646,195
"OTU172",215,0.418562329390355,982.391002178573,215
"OTU223",215,0.414414414414414,238.885310527608,215
"OTU169",213,0.414041404140414,225.764603869081,213
"OTU226",214,0.414414414414414,232.012177264898,214
"OTU101",203,0.410347903657449,264.719809003913,203
"OTU352",195,0.387858347386172,229.115972057646,195
"OTU253",182,0.396551724137931,100.959258634839,182
"OTU272",149,0.388841927303466,417.212212727643,149
"OTU264",215,0.414414414414414,238.885310527608,215
"OTU195",214,0.414414414414414,232.012177264898,214
"OTU199",214,0.414414414414414,232.012177264898,214
"OTU168",214,0.414414414414414,232.012177264898,214
"OTU249",193,0.38655462184874,184.431950297078,193
"OTU124",214,0.414414414414414,232.012177264898,214
"OTU366",182,0.396551724137931,100.959258634839,182
"OTU173",186,0.398613518197574,164.547187741476,186
"OTU588",211,0.412926391382406,208.395819318069,211
"OTU190",155,0.381426202321725,127.607901472931,155
"OTU312",193,0.38655462184874,184.431950297078,193
"OTU313",214,0.414414414414414,232.012177264898,214
"OTU126",204,0.412186379928315,542.995274437489,204
"OTU276",173,0.399652476107732,968.424958723741,173
"OTU234",182,0.396551724137931,100.959258634839,182
"OTU371",194,0.386879730866274,187.537712042748,194
"OTU389",158,0.390161153519932,441.979771639399,158
"OTU155",200,0.411817367949866,916.967125172686,200
"OTU368",182,0.396551724137931,100.959258634839,182
"OTU174",214,0.414414414414414,232.012177264898,214
"OTU100",147,0.367705835331735,42.6618881156441,147
"OTU180",213,0.414041404140414,225.764603869081,213
"OTU212",182,0.396551724137931,100.959258634839,182
"OTU378",214,0.414414414414414,232.012177264898,214
"OTU273",182,0.396551724137931,100.959258634839,182
"OTU367",132,0.399652476107732,2453.46551372451,132
"OTU107",182,0.396551724137931,100.959258634839,182
"OTU418",182,0.396551724137931,100.959258634839,182
"OTU260",195,0.387858347386172,229.115972057646,195
"OTU112",199,0.408163265306122,241.230382195619,199
"OTU291",186,0.398613518197574,164.547187741476,186
"OTU320",182,0.396551724137931,100.959258634839,182
"OTU528",60,0.344569288389513,182.435589613837,60
"OTU328",194,0.386879730866274,187.537712042748,194
"OTU380",113,0.353574173712529,39.2263707302597,113
"OTU373",213,0.414041404140414,225.764603869081,213
"OTU423",206,0.412556053811659,437.937923635903,206
"OTU184",182,0.396551724137931,100.959258634839,182
"OTU339",214,0.414414414414414,232.012177264898,214
"OTU257",195,0.387858347386172,229.115972057646,195
"OTU281",49,0.328102710413695,262.245136940959,49
"OTU118",49,0.328102710413695,262.245136940959,49
"OTU401",162,0.381110190555095,510.614585858392,162
"OTU324",182,0.396551724137931,100.959258634839,182
"OTU463",182,0.396551724137931,100.959258634839,182
"OTU425",182,0.396551724137931,100.959258634839,182
"OTU220",194,0.387531592249368,225.648042430207,194
"OTU435",186,0.398613518197574,164.547187741476,186
"OTU325",39,0.322354590049054,836.85420961542,39
"OTU344",182,0.396551724137931,100.959258634839,182
"OTU266",214,0.414414414414414,232.012177264898,214
"OTU482",186,0.398613518197574,164.547187741476,186
"OTU203",182,0.396551724137931,100.959258634839,182
"OTU382",194,0.386879730866274,187.537712042748,194
"OTU164",186,0.398613518197574,164.547187741476,186
"OTU421",155,0.370967741935484,173.619388268286,155
