"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU222",115,0.396433470507545,250.51329610461,115
"OTU128",115,0.396433470507545,250.51329610461,115
"OTU138",115,0.396433470507545,250.51329610461,115
"OTU224",115,0.396433470507545,250.51329610461,115
"OTU192",115,0.396433470507545,250.51329610461,115
"OTU140",115,0.396433470507545,250.51329610461,115
"OTU61",115,0.396433470507545,250.51329610461,115
"OTU72",46,0.299481865284974,0,46
"OTU113",115,0.396433470507545,250.51329610461,115
"OTU58",115,0.396433470507545,250.51329610461,115
"OTU185",115,0.396433470507545,250.51329610461,115
"OTU60",115,0.396433470507545,250.51329610461,115
"OTU117",65,0.353300733496333,2.04239194432164,65
"OTU295",115,0.396433470507545,250.51329610461,115
"OTU77",52,0.322544642857143,16.7072985353367,52
"OTU171",115,0.396433470507545,250.51329610461,115
"OTU182",115,0.396433470507545,250.51329610461,115
"OTU92",115,0.396433470507545,250.51329610461,115
"OTU163",115,0.396433470507545,250.51329610461,115
"OTU91",115,0.396433470507545,250.51329610461,115
"OTU78",63,0.375324675324675,2699.09206594149,63
"OTU158",115,0.396433470507545,250.51329610461,115
"OTU263",115,0.396433470507545,250.51329610461,115
"OTU119",69,0.382781456953642,2884.52296926868,69
"OTU239",115,0.396433470507545,250.51329610461,115
"OTU215",115,0.396433470507545,250.51329610461,115
"OTU267",115,0.396433470507545,250.51329610461,115
"OTU177",70,0.33294930875576,360.895742455991,70
"OTU223",115,0.396433470507545,250.51329610461,115
"OTU169",115,0.396433470507545,250.51329610461,115
"OTU226",115,0.396433470507545,250.51329610461,115
"OTU352",70,0.33294930875576,360.895742455991,70
"OTU264",115,0.396433470507545,250.51329610461,115
"OTU195",115,0.396433470507545,250.51329610461,115
"OTU199",115,0.396433470507545,250.51329610461,115
"OTU168",115,0.396433470507545,250.51329610461,115
"OTU124",115,0.396433470507545,250.51329610461,115
"OTU588",115,0.396433470507545,250.51329610461,115
"OTU313",115,0.396433470507545,250.51329610461,115
"OTU174",115,0.396433470507545,250.51329610461,115
"OTU180",115,0.396433470507545,250.51329610461,115
"OTU378",115,0.396433470507545,250.51329610461,115
"OTU260",70,0.33294930875576,360.895742455991,70
"OTU373",115,0.396433470507545,250.51329610461,115
"OTU339",115,0.396433470507545,250.51329610461,115
"OTU257",70,0.33294930875576,360.895742455991,70
"OTU266",115,0.396433470507545,250.51329610461,115
"OTU43",4,0.18705501618123,351.185858585857,4
"OTU55",6,0.161904761904762,330.571717171716,6
"OTU59",7,0.162450815064643,2204.96565656565,7
"OTU120",2,0.140975609756098,288,2
"OTU86",5,0.142014742014742,910.606060606064,5
"OTU83",4,0.141736145169201,0,4
"OTU51",3,0.111626110467362,575,3
"OTU30",1,0.100451859575947,0,1
"OTU194",1,0.100451859575947,0,1
"OTU109",3,0.139681005316578,288,3
"OTU233",2,0.139613526570048,0,2
"OTU154",1,1,0,1
"OTU157",14,0.285009861932939,12.4490232653267,14
"OTU152",58,0.311422413793103,438.239770494232,58
"OTU401",41,0.319337016574586,1404.69423870422,41
"OTU40",48,0.32039911308204,294.125046378708,48
"OTU108",1,0.13941148094549,0,1
"OTU389",46,0.343230403800475,2374.06717675062,46
"OTU116",3,1,0,3
"OTU133",3,1,0,3
"OTU131",3,1,0,3
"OTU130",3,0.219105382865807,414.999999999999,3
"OTU79",4,0.20821325648415,0,4
"OTU104",4,0.20821325648415,0,4
"OTU81",4,0.20821325648415,0,4
"OTU114",6,0.228639240506329,115.601410709197,6
"OTU165",9,0.251961639058413,162.899999999999,9
"OTU270",6,0.26808905380334,10672.5807804211,6
"OTU343",3,0.20821325648415,288,3
"OTU166",10,0.280310378273521,897.300754886564,10
"OTU160",13,0.313449023861171,2551.50031294138,13
"OTU238",9,0.251961639058413,162.899999999999,9
"OTU106",2,0.123768736616702,288,2
"OTU187",1,0.123662815575524,0,1
"OTU176",112,0.357673267326733,269.225292747573,112
"OTU255",112,0.357673267326733,269.225292747573,112
"OTU269",112,0.357673267326733,269.225292747573,112
"OTU252",106,0.352439024390244,233.446104431969,106
"OTU102",112,0.357673267326733,269.225292747573,112
"OTU253",112,0.357673267326733,269.225292747573,112
"OTU249",96,0.376792698826597,1116.72515990486,96
"OTU366",112,0.357673267326733,269.225292747573,112
"OTU173",110,0.354166666666667,330.438185257513,110
"OTU312",96,0.376792698826597,1116.72515990486,96
"OTU276",41,0.295803480040942,0,41
"OTU234",112,0.357673267326733,269.225292747573,112
"OTU371",97,0.377777777777778,1186.57803188828,97
"OTU368",112,0.357673267326733,269.225292747573,112
"OTU212",112,0.357673267326733,269.225292747573,112
"OTU273",112,0.357673267326733,269.225292747573,112
"OTU107",106,0.352439024390244,233.446104431969,106
"OTU418",112,0.357673267326733,269.225292747573,112
"OTU291",110,0.354166666666667,330.438185257513,110
"OTU320",112,0.357673267326733,269.225292747573,112
"OTU328",97,0.377777777777778,1186.57803188828,97
"OTU380",48,0.301041666666667,333.251923985078,48
"OTU184",112,0.357673267326733,269.225292747573,112
"OTU324",112,0.357673267326733,269.225292747573,112
"OTU463",112,0.357673267326733,269.225292747573,112
"OTU425",112,0.357673267326733,269.225292747573,112
"OTU220",89,0.363522012578616,886.172311685679,89
"OTU435",110,0.354166666666667,330.438185257513,110
"OTU344",112,0.357673267326733,269.225292747573,112
"OTU482",110,0.354166666666667,330.438185257513,110
"OTU203",112,0.357673267326733,269.225292747573,112
"OTU382",97,0.377777777777778,1186.57803188828,97
"OTU164",110,0.354166666666667,330.438185257513,110
"OTU421",57,0.313789359391965,845.24377578608,57
"OTU372",48,0.301041666666667,333.251923985078,48
"OTU503",112,0.357673267326733,269.225292747573,112
"OTU66",32,0.326553672316384,112.062560503073,32
"OTU62",32,0.326553672316384,112.062560503073,32
"OTU521",1,1,0,1
