"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"22",0.1,0.838577235772358,0.0102756299701573,0.00102756299701573,"unweighted","COPD_IFNnegative"
"23",0.15,0.763414634146341,0.0147870977377902,0.00147870977377902,"unweighted","COPD_IFNnegative"
"24",0.2,0.693252032520325,0.014848151901018,0.0014848151901018,"unweighted","COPD_IFNnegative"
"25",0.25,0.616422764227642,0.0171155478570403,0.00171155478570403,"unweighted","COPD_IFNnegative"
"26",0.3,0.550365853658537,0.0190395294182702,0.00190395294182702,"unweighted","COPD_IFNnegative"
"27",0.35,0.485650406504065,0.0193487636315419,0.00193487636315419,"unweighted","COPD_IFNnegative"
"28",0.4,0.428983739837398,0.0213423334993937,0.00213423334993937,"unweighted","COPD_IFNnegative"
"29",0.45,0.367764227642276,0.0218218381956389,0.00218218381956389,"unweighted","COPD_IFNnegative"
"30",0.5,0.31239837398374,0.020954972012854,0.0020954972012854,"unweighted","COPD_IFNnegative"
"31",0.55,0.258983739837398,0.0203235196806225,0.00203235196806225,"unweighted","COPD_IFNnegative"
"32",0.6,0.21219512195122,0.0215256872715475,0.00215256872715475,"unweighted","COPD_IFNnegative"
"33",0.65,0.169186991869919,0.0214774019290196,0.00214774019290196,"unweighted","COPD_IFNnegative"
"34",0.7,0.122073170731707,0.020537244932385,0.0020537244932385,"unweighted","COPD_IFNnegative"
"35",0.75,0.0904471544715447,0.0186630451485934,0.00186630451485934,"unweighted","COPD_IFNnegative"
"36",0.8,0.0582113821138211,0.0168834312667822,0.00168834312667822,"unweighted","COPD_IFNnegative"
"37",0.85,0.0350813008130081,0.0114198128597714,0.00114198128597714,"unweighted","COPD_IFNnegative"
"38",0.9,0.0167073170731707,0.00938594217556433,0.000938594217556433,"unweighted","COPD_IFNnegative"
"39",0.95,0.00491869918699187,0.00558073599358357,0.000558073599358357,"unweighted","COPD_IFNnegative"
"40",1,0,0,0,"unweighted","COPD_IFNnegative"
