"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"OTU112",14,31,41,32,0,11,103,15,6,2,2,3,10,99,18,20,94,224,1,3,8,20,1,37,21,10,14,53,11,36,10,18,1,0,0,0,5,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,20,0,0,0,1,31,36,16,0,0,0,0,0,0,0,0
"OTU49",268,14,68,362,1,7,194,240,1,502,93,101,10,193,4,369,1162,580,90,2,176,247,145,143,380,57,139,427,16,110,103,83,2,0,0,3,38,392,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,4,14,372,48,0,0,0,0,0,0,0,0
"OTU161",35,2,12,26,0,6,12,4,1,52,1,0,3,75,1,22,48,99,17,0,5,23,2,15,71,4,26,90,9,9,9,43,0,0,0,0,3,83,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,27,16,0,0,0,0,0,0,0,0
"OTU305",14,16,3,0,0,0,1,1,2,0,3,0,0,4,3,3,22,12,0,1,4,8,1,0,21,2,2,2,7,0,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,8,0,0,0,0,0,0,0,0
"OTU443",0,0,1,0,0,0,0,0,0,0,0,1,1,0,10,0,3,4,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
"OTU456",1,0,0,0,0,0,0,1,0,1,2,0,0,2,1,1,3,7,0,0,0,0,0,2,2,1,0,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0
"OTU692",0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU351",0,14,0,0,0,0,0,0,4,0,0,0,0,1,39,0,0,7,0,2,85,0,0,0,1,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
"OTU648",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU557",0,2,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU301",0,2,4,1,0,9,11,0,0,0,0,0,2,0,0,0,0,10,0,0,13,0,0,0,1,2,1,14,15,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"OTU545",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU523",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"OTU124",0,18,31,16,0,64,0,2,0,0,2,0,0,15,155,0,1107,0,1,5,0,3,0,0,1,2,0,89,83,0,1,39,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,2,14,63,82,0,0,0,0,0,0,0,0
"OTU173",24,15,0,1,0,696,0,5,0,9,0,33,9,5,2,42,0,0,0,1,1,1,0,0,5,1,16,4,6,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,32,0,0,0,7,16,12,50,0,0,0,0,0,0,0,0
"OTU29",742,2382,7,137,1,2017,0,337,69,234,443,908,1345,343,437,974,4,107,2,100,147,9,628,159,115,561,182,41,51,230,16,12,0,0,0,9,830,624,0,0,0,0,581,0,0,0,0,1,1,0,0,0,0,0,118,149,653,0,0,2,46,684,450,1484,0,0,0,0,0,0,0,0
"OTU272",0,2,1,0,0,4,0,1,27,0,0,0,2,3,4,0,3,2,0,0,3,1,0,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,20,3,0,0,0,7,4,2,1,0,0,0,0,0,0,0,0
"OTU128",2,49,7,13,1,92,0,5,11,1,15,0,30,0,40,0,112,18,0,3,2,23,1,1,5,24,3,202,17,6,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,66,122,0,0,0,0,31,0,69,48,0,0,0,0,0,0,0,0
