,Pvalues,FDR,COPD_IFNnegative,COPD_IFNpositive,TB_IFNpositive,max,min,LDAscore,class,color
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Burkholderiales_Rank_Neisseriaceae_Rank_Neisseria,1.1387e-08,7.055e-08,3298.64516129032,4714,177.5,4714,177.5,3.36,COPD_IFNpositive,red
o__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Erysipelotrichales,1.8147e-08,1.0344e-07,1777,2012.44444444444,1011.5625,2012.44444444444,1011.5625,2.7,COPD_IFNpositive,red
f__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Erysipelotrichales_Rank_Erysipelotrichaceae,1.8147e-08,1.0344e-07,1776.8064516129,2012.33333333333,1011.5625,2012.33333333333,1011.5625,2.7,COPD_IFNpositive,red
g__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales_Rank_Prevotellaceae_Rank_Alloprevotella,1.9146e-08,1.0699e-07,1077.38709677419,1496.77777777778,251.0625,1496.77777777778,251.0625,2.8,COPD_IFNpositive,red
o__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Burkholderiales,4.2348e-08,2.2772e-07,3315.25806451613,4761.22222222222,185,4761.22222222222,185,3.36,COPD_IFNpositive,red
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Burkholderiales_Rank_Comamonadaceae_Rank_Methylibium,6.0822e-08,3.2101e-07,0,0.111111111111111,1.5625,1.5625,0,0.251,TB_IFNpositive,blue
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Enterobacterales_Rank_Pasteurellaceae_Rank_Aggregatibacter,2.2176e-07,1.1286e-06,132.064516129032,126.222222222222,16.65625,132.064516129032,16.65625,1.77,COPD_IFNnegative,darkgreen
f__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Flavobacteriales_Rank_Flavobacteriaceae,2.5677e-07,1.2617e-06,29.258064516129,226.777777777778,8.96875,226.777777777778,8.96875,2.04,COPD_IFNpositive,red
g__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Flavobacteriales_Rank_Flavobacteriaceae_Rank_Capnocytophaga,2.5677e-07,1.2617e-06,29.258064516129,226.777777777778,8.96875,226.777777777778,8.96875,2.04,COPD_IFNpositive,red
f__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Micrococcales_Rank_Micrococcaceae,3.413e-07,1.5946e-06,781.645161290323,1064.55555555556,85.40625,1064.55555555556,85.40625,2.69,COPD_IFNpositive,red
g__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Micrococcales_Rank_Micrococcaceae_Rank_Rothia,3.413e-07,1.5946e-06,781.645161290323,1064.55555555556,85.40625,1064.55555555556,85.40625,2.69,COPD_IFNpositive,red
f__Bacteria_Rank_Actinobacteriota_Rank_Coriobacteriia_Rank_Coriobacteriales_Rank_Atopobiaceae,4.4806e-07,2.0269e-06,198.612903225806,253.222222222222,19.5,253.222222222222,19.5,2.07,COPD_IFNpositive,red
c__Bacteria_Rank_Actinobacteriota_Rank_Coriobacteriia,5.1684e-07,2.2521e-06,200.806451612903,264,20.03125,264,20.03125,2.09,COPD_IFNpositive,red
o__Bacteria_Rank_Actinobacteriota_Rank_Coriobacteriia_Rank_Coriobacteriales,5.1684e-07,2.2521e-06,200.806451612903,264,20.03125,264,20.03125,2.09,COPD_IFNpositive,red
g__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia_Rank_Fusobacteriales_Rank_Leptotrichiaceae_Rank_Streptobacillus,5.2155e-07,2.2521e-06,17.741935483871,3.22222222222222,5.0625,17.741935483871,3.22222222222222,0.917,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Propionibacteriales_Rank_Propionibacteriaceae_Rank_Pseudopropionibacterium,5.9651e-07,2.5374e-06,10.0645161290323,101.111111111111,1.9375,101.111111111111,1.9375,1.7,COPD_IFNpositive,red
g__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia_Rank_Fusobacteriales_Rank_Leptotrichiaceae_Rank_Leptotrichia,1.4942e-06,6.2625e-06,666.096774193548,392.111111111111,92.15625,666.096774193548,92.15625,2.46,COPD_IFNnegative,darkgreen
f__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia_Rank_Fusobacteriales_Rank_Leptotrichiaceae,1.6445e-06,6.7925e-06,683.838709677419,395.333333333333,97.21875,683.838709677419,97.21875,2.47,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Burkholderiales_Rank_Burkholderiaceae_Rank_Lautropia,2.2385e-06,9.1139e-06,11,37.6666666666667,1.375,37.6666666666667,1.375,1.28,COPD_IFNpositive,red
f__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Corynebacteriales_Rank_Corynebacteriaceae,3.1939e-06,1.2642e-05,18.3225806451613,19.6666666666667,4.84375,19.6666666666667,4.84375,0.925,COPD_IFNpositive,red
g__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Corynebacteriales_Rank_Corynebacteriaceae_Rank_Corynebacterium,3.1939e-06,1.2642e-05,18.3225806451613,19.6666666666667,4.84375,19.6666666666667,4.84375,0.925,COPD_IFNpositive,red
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Pseudomonadales_Rank_Moraxellaceae_Rank_Acinetobacter,3.9174e-06,1.5294e-05,0,0,1.5625,1.5625,0,0.251,TB_IFNpositive,blue
f__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Burkholderiales_Rank_Comamonadaceae,4.4475e-06,1.7129e-05,0.225806451612903,4,1.96875,4,0.225806451612903,0.46,COPD_IFNpositive,red
p__Bacteria_Rank_Firmicutes,5.0097e-06,1.9037e-05,27091.6129032258,27457.1111111111,12648.375,27457.1111111111,12648.375,3.87,COPD_IFNpositive,red
o__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Xanthomonadales,5.717e-06,2.0889e-05,2547.58064516129,7590.33333333333,0.28125,7590.33333333333,0.28125,3.58,COPD_IFNpositive,red
f__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Xanthomonadales_Rank_Xanthomonadaceae,5.717e-06,2.0889e-05,2547.58064516129,7590.33333333333,0.28125,7590.33333333333,0.28125,3.58,COPD_IFNpositive,red
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Xanthomonadales_Rank_Xanthomonadaceae_Rank_Stenotrophomonas,5.717e-06,2.0889e-05,2547.58064516129,7590.33333333333,0.28125,7590.33333333333,0.28125,3.58,COPD_IFNpositive,red
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Burkholderiales_Rank_Neisseriaceae_Rank_Kingella,6.2285e-06,2.247e-05,1.58064516129032,2,0.03125,2,0.03125,0.298,COPD_IFNpositive,red
o__Bacteria_Rank_Firmicutes_Rank_Clostridia_Rank_Lachnospirales,1.6671e-05,5.8657e-05,407.161290322581,626.555555555556,68.25,626.555555555556,68.25,2.45,COPD_IFNpositive,red
c__Bacteria_Rank_Firmicutes_Rank_Bacilli,1.7898e-05,6.1725e-05,23202.3225806452,23243.5555555556,12367.125,23243.5555555556,12367.125,3.74,COPD_IFNpositive,red
f__Bacteria_Rank_Firmicutes_Rank_Clostridia_Rank_Lachnospirales_Rank_Lachnospiraceae,1.8069e-05,6.1725e-05,405.709677419355,625.666666666667,68.03125,625.666666666667,68.03125,2.45,COPD_IFNpositive,red
f__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Flavobacteriales_Rank_Weeksellaceae,1.9777e-05,6.5541e-05,8.51612903225806,6.55555555555556,7.8125,8.51612903225806,6.55555555555556,0.297,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Flavobacteriales_Rank_Weeksellaceae_Rank_Bergeyella,1.9777e-05,6.5541e-05,8.51612903225806,6.55555555555556,7.8125,8.51612903225806,6.55555555555556,0.297,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Burkholderiales_Rank_Burkholderiaceae_Rank_Ralstonia,2.0831e-05,6.8238e-05,0.67741935483871,1.11111111111111,3.96875,3.96875,0.67741935483871,0.423,TB_IFNpositive,blue
g__Bacteria_Rank_Firmicutes_Rank_Clostridia_Rank_Lachnospirales_Rank_Lachnospiraceae_Rank_Oribacterium,2.4669e-05,7.9894e-05,230.354838709677,302.666666666667,37.1875,302.666666666667,37.1875,2.13,COPD_IFNpositive,red
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Enterobacterales_Rank_Pasteurellaceae_Rank_Actinobacillus,2.9924e-05,9.4759e-05,52.9032258064516,4,5.21875,52.9032258064516,4,1.41,COPD_IFNnegative,darkgreen
o__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Brevibacillales,4.0004e-05,0.00012129,0.032258064516129,0,7957.46875,7957.46875,0,3.6,TB_IFNpositive,blue
f__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Brevibacillales_Rank_Brevibacillaceae,4.0004e-05,0.00012129,0.032258064516129,0,7957.46875,7957.46875,0,3.6,TB_IFNpositive,blue
p__Bacteria_Rank_Patescibacteria,6.4723e-05,0.00018822,292.967741935484,244.111111111111,62.5625,292.967741935484,62.5625,2.07,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Patescibacteria_Rank_Saccharimonadia,6.4723e-05,0.00018822,292.967741935484,244.111111111111,62.5625,292.967741935484,62.5625,2.07,COPD_IFNnegative,darkgreen
o__Bacteria_Rank_Patescibacteria_Rank_Saccharimonadia_Rank_Saccharimonadales,6.4723e-05,0.00018822,292.967741935484,244.111111111111,62.5625,292.967741935484,62.5625,2.07,COPD_IFNnegative,darkgreen
f__Bacteria_Rank_Patescibacteria_Rank_Saccharimonadia_Rank_Saccharimonadales_Rank_Saccharimonadaceae,6.4723e-05,0.00018822,292.967741935484,244.111111111111,62.5625,292.967741935484,62.5625,2.07,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Lactobacillales_Rank_Carnobacteriaceae_Rank_Granulicatella,8.2895e-05,0.00023864,518,362.222222222222,192.0625,518,192.0625,2.21,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Firmicutes_Rank_Clostridia_Rank_Lachnospirales_Rank_Lachnospiraceae_Rank_Butyrivibrio,9.0415e-05,0.00025326,11.8709677419355,9.88888888888889,0.5,11.8709677419355,0.5,0.825,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Spirochaetota_Rank_Spirochaetia,9.3305e-05,0.00025326,20.2903225806452,11,1.53125,20.2903225806452,1.53125,1.02,COPD_IFNnegative,darkgreen
o__Bacteria_Rank_Spirochaetota_Rank_Spirochaetia_Rank_Spirochaetales,9.3305e-05,0.00025326,20.2903225806452,11,1.53125,20.2903225806452,1.53125,1.02,COPD_IFNnegative,darkgreen
f__Bacteria_Rank_Spirochaetota_Rank_Spirochaetia_Rank_Spirochaetales_Rank_Spirochaetaceae,9.3305e-05,0.00025326,20.2903225806452,11,1.53125,20.2903225806452,1.53125,1.02,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Spirochaetota_Rank_Spirochaetia_Rank_Spirochaetales_Rank_Spirochaetaceae_Rank_Treponema,9.3305e-05,0.00025326,20.2903225806452,11,1.53125,20.2903225806452,1.53125,1.02,COPD_IFNnegative,darkgreen
f__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Lactobacillales_Rank_Carnobacteriaceae,0.00010586,0.00028463,518.354838709677,362.222222222222,197.28125,518.354838709677,197.28125,2.21,COPD_IFNnegative,darkgreen
f__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Lactobacillales_Rank_Lactobacillaceae,0.00010742,0.00028611,9,27,0.40625,27,0.40625,1.16,COPD_IFNpositive,red
g__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Lactobacillales_Rank_Lactobacillaceae_Rank_Limosilactobacillus,0.00011345,0.00029937,6.32258064516129,5.33333333333333,0.3125,6.32258064516129,0.3125,0.603,COPD_IFNnegative,darkgreen
f__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Staphylococcales_Rank_Staphylococcaceae,0.00012249,0.00031475,0.225806451612903,3.66666666666667,3.15625,3.66666666666667,0.225806451612903,0.435,COPD_IFNpositive,red
g__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Staphylococcales_Rank_Staphylococcaceae_Rank_Staphylococcus,0.00012249,0.00031475,0.225806451612903,3.66666666666667,3.15625,3.66666666666667,0.225806451612903,0.435,COPD_IFNpositive,red
g__Bacteria_Rank_Firmicutes_Rank_Clostridia_Rank_Lachnospirales_Rank_Lachnospiraceae_Rank_Shuttleworthia,0.00012702,0.00032322,5.35483870967742,22.7777777777778,0.59375,22.7777777777778,0.59375,1.08,COPD_IFNpositive,red
g__Bacteria_Rank_Patescibacteria_Rank_Saccharimonadia_Rank_Saccharimonadales_Rank_Saccharimonadaceae_Rank_TM7x,0.00016607,0.00041885,249.483870967742,142.111111111111,56.375,249.483870967742,56.375,1.99,COPD_IFNnegative,darkgreen
o__Bacteria_Rank_Proteobacteria_Rank_Alphaproteobacteria_Rank_Sphingomonadales,0.00027394,0.00066164,231.838709677419,25.5555555555556,0.46875,231.838709677419,0.46875,2.07,COPD_IFNnegative,darkgreen
f__Bacteria_Rank_Proteobacteria_Rank_Alphaproteobacteria_Rank_Sphingomonadales_Rank_Sphingomonadaceae,0.00027394,0.00066164,231.838709677419,25.5555555555556,0.46875,231.838709677419,0.46875,2.07,COPD_IFNnegative,darkgreen
o__Bacteria_Rank_Firmicutes_Rank_Clostridia_Rank_Peptococcales,0.0003858,0.00090126,2.16129032258065,5.33333333333333,1.5625,5.33333333333333,1.5625,0.46,COPD_IFNpositive,red
f__Bacteria_Rank_Firmicutes_Rank_Clostridia_Rank_Peptococcales_Rank_Peptococcaceae,0.0003858,0.00090126,2.16129032258065,5.33333333333333,1.5625,5.33333333333333,1.5625,0.46,COPD_IFNpositive,red
g__Bacteria_Rank_Firmicutes_Rank_Clostridia_Rank_Peptococcales_Rank_Peptococcaceae_Rank_Peptococcus,0.0003858,0.00090126,2.16129032258065,5.33333333333333,1.5625,5.33333333333333,1.5625,0.46,COPD_IFNpositive,red
o__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Micrococcales,0.00042611,0.00098364,788.838709677419,1066,7939.25,7939.25,788.838709677419,3.55,TB_IFNpositive,blue
o__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Streptomycetales,0.00043487,0.00098364,0.161290322580645,0.222222222222222,2522.125,2522.125,0.161290322580645,3.1,TB_IFNpositive,blue
f__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Streptomycetales_Rank_Streptomycetaceae,0.00043487,0.00098364,0.161290322580645,0.222222222222222,2522.125,2522.125,0.161290322580645,3.1,TB_IFNpositive,blue
o__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Mycoplasmatales,0.00060071,0.001317,1.61290322580645,4.88888888888889,0.1875,4.88888888888889,0.1875,0.525,COPD_IFNpositive,red
f__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Mycoplasmatales_Rank_Mycoplasmataceae,0.00060071,0.001317,1.61290322580645,4.88888888888889,0.1875,4.88888888888889,0.1875,0.525,COPD_IFNpositive,red
g__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Lactobacillales_Rank_Aerococcaceae_Rank_Abiotrophia,0.0014083,0.0029952,23.8709677419355,29.7777777777778,6.84375,29.7777777777778,6.84375,1.1,COPD_IFNpositive,red
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Burkholderiales_Rank_Neisseriaceae_Rank_Eikenella,0.0021726,0.0045866,1.2258064516129,1.88888888888889,0.09375,1.88888888888889,0.09375,0.278,COPD_IFNpositive,red
g__Bacteria_Rank_Firmicutes_Rank_Clostridia_Rank_Lachnospirales_Rank_Lachnospiraceae_Rank_Lachnoanaerobaculum,0.0039719,0.0082028,39.8709677419355,97.4444444444444,20.59375,97.4444444444444,20.59375,1.6,COPD_IFNpositive,red
g__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Propionibacteriales_Rank_Propionibacteriaceae_Rank_Propionibacterium,0.0046949,0.0096263,1.96774193548387,2.33333333333333,0.125,2.33333333333333,0.125,0.323,COPD_IFNpositive,red
g__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Erysipelotrichales_Rank_Erysipelotrichaceae_Rank_Bulleidia,0.0047885,0.009748,0.419354838709677,4.77777777777778,0.0625,4.77777777777778,0.0625,0.526,COPD_IFNpositive,red
f__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Pseudomonadales_Rank_Pseudomonadaceae,0.0050281,0.010092,15.5483870967742,0,0.84375,15.5483870967742,0,0.943,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Pseudomonadales_Rank_Pseudomonadaceae_Rank_Pseudomonas,0.0050281,0.010092,15.5483870967742,0,0.84375,15.5483870967742,0,0.943,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Actinobacteriota_Rank_Coriobacteriia_Rank_Coriobacteriales_Rank_Eggerthellaceae_Rank_Cryptobacterium,0.005124,0.010212,1.74193548387097,4.66666666666667,0.03125,4.66666666666667,0.03125,0.521,COPD_IFNpositive,red
g__Bacteria_Rank_Proteobacteria_Rank_Alphaproteobacteria_Rank_Caulobacterales_Rank_Caulobacteraceae_Rank_Caulobacter,0.0053786,0.010577,17.5161290322581,25.1111111111111,0,25.1111111111111,0,1.13,COPD_IFNpositive,red
f__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Staphylococcales_Rank_Gemellaceae,0.0057136,0.011077,695.774193548387,453.111111111111,314.84375,695.774193548387,314.84375,2.28,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Staphylococcales_Rank_Gemellaceae_Rank_Gemella,0.0057136,0.011077,695.774193548387,453.111111111111,314.84375,695.774193548387,314.84375,2.28,COPD_IFNnegative,darkgreen
p__Bacteria_Rank_Synergistota,0.0061518,0.011574,2.7741935483871,5.66666666666667,1,5.66666666666667,1,0.523,COPD_IFNpositive,red
c__Bacteria_Rank_Synergistota_Rank_Synergistia,0.0061518,0.011574,2.7741935483871,5.66666666666667,1,5.66666666666667,1,0.523,COPD_IFNpositive,red
f__Bacteria_Rank_Synergistota_Rank_Synergistia_Rank_Synergistales_Rank_Synergistaceae,0.0061518,0.011574,2.7741935483871,5.66666666666667,1,5.66666666666667,1,0.523,COPD_IFNpositive,red
