	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU627	?	?	?	?	?	?	?
OTU833	?	?	?	?	?	?	?
OTU824	?	?	?	?	?	?	?
OTU828	?	?	?	?	?	?	?
OTU571	?	?	?	?	?	?	?
OTU654	?	?	?	?	?	?	?
OTU678	?	?	?	?	?	?	?
OTU294	?	?	?	?	?	?	?
OTU739	?	?	?	?	?	?	?
OTU764	?	?	?	?	?	?	?
OTU788	?	?	?	?	?	?	?
OTU804	?	?	?	?	?	?	?
OTU770	?	?	?	?	?	?	?
OTU784	?	?	?	?	?	?	?
OTU826	?	?	?	?	?	?	?
OTU597	?	?	?	?	?	?	?
OTU821	?	?	?	?	?	?	?
OTU797	?	?	?	?	?	?	?
OTU816	?	?	?	?	?	?	?
OTU810	?	?	?	?	?	?	?
OTU592	?	?	?	?	?	?	?
OTU744	?	?	?	?	?	?	?
OTU806	?	?	?	?	?	?	?
OTU812	?	?	?	?	?	?	?
OTU777	?	?	?	?	?	?	?
OTU670	?	?	?	?	?	?	?
OTU757	?	?	?	?	?	?	?
OTU521	?	?	?	?	?	?	?
OTU802	?	?	?	?	?	?	?
OTU698	?	?	?	?	?	?	?
OTU792	?	?	?	?	?	?	?
OTU823	?	?	?	?	?	?	?
OTU693	?	?	?	?	?	?	?
OTU814	?	?	?	?	?	?	?
OTU743	?	?	?	?	?	?	?
OTU589	?	?	?	?	?	?	?
OTU822	?	?	?	?	?	?	?
OTU668	?	?	?	?	?	?	?
OTU507	?	?	?	?	?	?	?
OTU522	?	?	?	?	?	?	?
OTU798	?	?	?	?	?	?	?
OTU735	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	Desulfomicrobium orale
OTU617	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	?
OTU150	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
OTU240	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	?
OTU747	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Wolinella	Wolinella succinogenes
OTU450	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella uli
OTU377	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella sp. oral taxon 807
OTU741	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	DNF00809	Coriobacteriaceae bacterium
OTU441	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	Slackia exigua
OTU469	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Cryptobacterium	Cryptobacterium curtum
OTU55	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	?
OTU581	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Brooklawnia	Brooklawnia cerclae
OTU771	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium westphaliense
OTU181	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Pseudopropionibacterium	?
OTU593	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Pseudopropionibacterium	Propionibacterium sp.
OTU392	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium acidifaciens
OTU671	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium australiense
OTU413	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
OTU104	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia dentocariosa
OTU248	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
OTU658	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	F0332	Actinobaculum sp.
OTU496	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	F0332	?
OTU786	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	?	?
OTU479	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium dentium
OTU677	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	Alloscardovia omnicolens
OTU599	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus curtisii
OTU773	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces dentalis
OTU791	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces massiliensis
OTU520	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Schaalia cardiffensis
OTU179	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
OTU108	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Schaalia odontolytica
OTU247	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces pacaensis
OTU33	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
OTU434	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Pauljensenia hongkongensis
OTU292	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
OTU748	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	uncultured Actinomyces sp.
OTU86	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	?	?	?
OTU337	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
OTU503	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Tropheryma	Tropheryma whipplei
OTU18	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	?
OTU594	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	?
OTU42	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	?
OTU96	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Sphaerimonospora	Sphaerimonospora mesophila
OTU4	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
OTU578	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	?	?
OTU334	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	?
OTU549	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	?
OTU274	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium matruchotii
OTU714	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	?
OTU113	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	?	?	?
OTU220	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	?	?	?
OTU298	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU657	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU264	Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria bacterium oral taxon 873	?	?	?
OTU717	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	?	?	?
OTU446	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Metamycoplasma faucium
OTU506	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Metamycoplasma salivarium
OTU43	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	TM7x	?
OTU142	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	TM7 phylum
OTU335	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	?
OTU105	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	?	?	?
OTU431	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	uncultured Candidatus Saccharibacteria bacterium	?	?
OTU482	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	?	?	?
OTU290	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	uncultured Candidatus Saccharibacteria bacterium	?
OTU127	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Candidatus Saccharibacteria bacterium UB2523	?	?
OTU570	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	?
OTU239	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	?
OTU490	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga ochracea
OTU419	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	uncultured Capnocytophaga sp.
OTU168	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga leadbetteri
OTU525	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	?
OTU574	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	?
OTU230	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga gingivalis
OTU435	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sp. oral taxon 863 str. F0517
OTU269	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	?
OTU317	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	Flavobacteriaceae bacterium
OTU373	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	?
OTU631	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU497	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	?	?
OTU621	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	uncultured Bacteroidetes bacterium	?
OTU759	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	p-2534-18B5 gut group	?	?
OTU732	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	?	?
OTU32	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas pasteri
